,-122,-121,-120,-119,-118,-117,-116,-115,-114,-113,-112,-111,-110,-109,-108,-107,-106,-105,-104,-103,-102,-101,-100,-99,-98,-97,-96,-95,-94,-93,-92,-91,-90,-89,-88,-87,-86,-85,-84,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0
Sikkim,142.1,139.5,130.0,121.2,118.0,107.4,108.4,112.1,116.7,113.9,106.9,103.9,91.5,92.3,81.8,87.1,80.9,74.8,73.4,68.4,63.4,64.0,68.5,59.3,63.9,64.5,61.7,60.1,57.5,60.3,62.3,61.1,59.9,58.0,53.3,49.6,54.6,50.9,50.9,51.1,47.0,44.9,45.0,48.6,50.2,48.8,46.4,45.2,46.2,45.7,48.0,46.8,43.3,38.9,33.9,33.5,31.9,31.2,28.1,24.2,21.6,19.5,19.1,19.1,18.5,17.8,16.0,14.6,12.0,12.9,13.3,14.2,14.4,15.2,17.8,16.5,16.7,17.6,18.3,16.5,15.8,16.0,14.2,12.6,11.0,11.5,11.8,11.4,10.3,9.8,10.0,9.5,9.6,9.7,8.6,8.2,7.1,6.9,7.8,8.3,8.9,8.7,8.9,8.0,7.5,7.8,9.7,9.9,9.1,9.9,8.6,8.1,8.3,9.6,17.2,18.0,17.1,16.7,17.1,16.2,16.3,17.5,16.9
