,-122,-121,-120,-119,-118,-117,-116,-115,-114,-113,-112,-111,-110,-109,-108,-107,-106,-105,-104,-103,-102,-101,-100,-99,-98,-97,-96,-95,-94,-93,-92,-91,-90,-89,-88,-87,-86,-85,-84,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0
Andhra Pradesh,1858.9,1890.2,1910.2,1819.5,1755.6,1625.6,1541.1,1479.4,1488.2,1485.6,1420.4,1343.0,1268.6,1239.9,1249.4,1312.4,1357.6,1346.4,1352.0,1296.3,1286.1,1296.2,1333.8,1361.0,1351.1,1359.5,1281.9,1267.6,1248.0,1304.1,1353.4,1349.3,1330.5,1264.9,1227.2,1209.4,1272.2,1293.7,1275.0,1264.8,1187.9,1191.3,1208.8,1239.5,1251.6,1223.8,1205.5,1128.0,1087.7,1062.4,1079.5,1042.5,992.5,951.9,870.2,820.6,782.2,784.7,776.9,731.4,692.8,642.9,606.7,581.9,593.0,584.5,537.7,516.6,480.5,465.9,455.8,474.1,471.6,459.5,445.5,416.4,424.7,438.2,443.1,442.9,425.5,414.7,388.9,375.2,367.8,368.4,341.9,306.7,300.6,277.1,265.3,261.6,268.2,268.5,251.5,242.2,238.9,236.5,227.5,225.1,218.8,200.4,189.2,175.7,179.7,185.3,191.9,191.2,193.0,188.6,181.9,183.9,184.9,188.1,182.3,174.5,171.6,165.4,159.0,159.3,168.5,164.3,161.5
